"x1"	"x3"	"x4"	"x6"	"x7"	"x8"	"x9"	"x10"	"x11"	"x12"	"x13"	"x14"	"x16"	"x18"	"x21"	"x22"	"x23"	"x24"	"Y"
33,8	0,28	0,046	5,7	52,4	55,81	33,05	19,8	53,91	0,14	19,1	4,66	424	1127	0,116	19,35135135	2	3	1432
21,84	0,17	0,04	7,39	34,46	93,28	16,92	27,49	43,73	0,43	18,21	5,34	989	1642	0,162	22,52054795	1	1	1644
36,7	0,3	0,035	4,41	32,51	67,29	6,08	16,03	35,1	0,79	17,5	6,17	1001	1268	0,026	21,57142857	1	4	1510
17,65	0,39	0,039	0,6	38,2	42,87	15,07	22,1	36,27	0,7	18,07	4,96	1280	2886	0,147	15,72815534	1	3	3240
16,5	0,624324225	0,036924668	9,98	40,14	4,54	10,04	24,52	38,78	0	16,87776084	5,703341176	976	2296	0,106	18,22	3	1	2733
29	0,65	0,037	6,91	36	0,54	12,73	25,69	36,45	0	17,54	5,45	497	1840	0,018	16,31543624	3	5	2431
25	0,76	0,041	3,03	27,83	0,07	15,42	23,88	37,35	0,88	17,2	5,1	1088	2061	0,076	22,53333333	2	1	2704
25,7	0,75	0,041	1,7	35,23	1,84	17,8	18,76	35	0,93	17,43	4,53	1402	1681	0,079	19,17431193	2	5	2090
20	0,73	0,042	2,17	42,91	1,59	16,98	17,02	31,51	0,81	17,45	4,59	597	1416	0,015	17,90291262	1	4	1844
22	0,72	0,042	2,64	31,46	0,14	21,32	20,14	31,25	1,42	18,55	4,55	824	1289	0,055	21,69117647	1	4	1475
31,85	0,7	0,043	1,7	7,46	0	14,65	24,57	34,12	1,32	18,18	4,51	547	880	0,046	26,45	1	1	1058
27	0,708	0,041	5,3	25,75	0	14,65	25,69	34,7	0,94	18,75	5,07	813	1755	0,101	17,00840336	3	3	2024
19,5	0,63	0,041	0,71	19,34	1,2	15,52	27,02	28,27	0,98	19,44	4,48	845	1628	0,124	13,70149254	3	1	1836
24,5	0,64	0,039	1,49	35,84	4,18	13,53	21,97	26	0,43	18,14	4,73	429	1243	0,061	14,91666667	1	5	1611
28,5	0,61	0,038	5,9	56,53	9,69	11,61	30,1	23,8	1,2	18,39	4,24	863,2	1829	0,134	19,35185185	2	1	2090
34,22	0,64	0,034	1,92	34,82	4,08	5,4	25,59	23,8	0,94	17,9	4,11	1135	2117	0,115	18,25373134	2	5	2446
33,5	0,64	0,035	2,22	26,56	6,01	4,46	24,8	27,57	0,62	17,54	4,24	1015	2045	0,087	13,29824561	1	5	2274
24,8	0,7	0,031	4,27	14,49	0,06	1,51	17,52	23,9	2,6	18,28	4	1128	2737	0,079	16,49494949	3	1	3266
30	0,7	0,031	13,271878	20,22	1,18	6,92	20,82	27,5	4,71	17,72	4,23	745	1641	0,118	13,6025641	3	1	2122
14,1	0,68	0,031	2,7	21,66	0,31	1,86	14,1	22,98	0,31	17,34	4,27	476	1731	0,119	16,98496241	1	5	2259
