"x1"	"x2"	"x3"	"x4"	"x5"	"x6"	"x7"	"x8"	"x9"	"x10"	"x11"	"x12"	"x13"	"x14"	"x16"	"x17"	"x18"	"x19"	"x21"	"x22"	"x23"	"x24"	"Y"
"50"	13,3	0,83	0,53	0,038	3,16	9,44	23,72	10,06	1,8	46,04	55,16	0,15	17,8	4,49	131	19,6	569	85,05	0,155	22,3	1	6	669
"51"	10,96	0,86	0,45	0,037	3,16	14,8	32,9	1	2,1	34	52,3	0,43	17	5,67	386	33,3	933	80,5	0,194	32,19444444	1	1	1159
"52"	13,07	0,85	0,44	0,035	3,22	9,4	31,8	1,8	1,1	36,9	58,5	0,44	17,09	5,79	774	49,14	1275	80,95	0,113	30,28846154	1	3	1575
"53"	16,4	0,84	0,45	0,034	3,23	14,7	27,7	0,86	1,34	34,55	52,25	0,47	16,98	6,4	438	26,74	1237	75,52	0,143	24,44776119	1	1	1638
"54"	16,64	0,8	0,43	0,033	3,16	16,13	15,65	1,17	0,25	31,37	52,57	0,41	16,74	6,73	359	29,7	941	77,9	0,17	32,64864865	3	3	1208
"55"	16,47	0,8	0,42	0,035	3,23	12,7	18,63	0,64	1,42	26,32	47,35	0,49	16,64	6,4	624	30,6	1714	84	0,154	30,44776119	3	1	2040
"56"	11,86	0,78	0,44	0,036	3,3	9,67	15,31	1,23	1,27	22,58	46,92	0,45	16,79	5,83	560	25,3	1914	86,6	0,146	25,69767442	3	1	2210
"57"	13,65	0,79	0,45	0,035	3,21	13,41	16,52	1,79	0,6	27,3	54,75	0,45	17,08	6,4	187	27,7	486	72,1	0,148	23,24137931	1	6	674
"58"	21,7	0,79	0,41	0,038	3,44	4,3	16,93	2,12	2,81	26,55	50,6	0,46	17,6	5,92	485	27,6	1417	80,7	0,182	22,21518987	1	3	1755
"59"	15,52	0,82	0,43	0,036	3,22	12,39	27,16	0,12	2,45	19,64	54,75	0,72	16,98	7,07	1001	59,8	1496	89,3	0,198	32,84313725	1	4	1675
"60"	11	0,82	0,51	0,038	3,21	12,2	25,3	0,43	4,9	16,24	49,68	0,21	16,74	6,46	1033	55,18	1582	84,51	0,155	24,31168831	2	4	1872
"61"	14,7	0,86	0,56	0,037	3,24	12,6	34,4	0,14	5,3	17,3	49	0,7	16,93	5,6	723	33,85	1908	89,3	0,184	22,96774194	2	5	2136
"62"	16,26	0,82	0,62	0,039	3,27	12,2	25,24	0,31	8,54	23,3	44,86	0,66	17,15	5,94	449	22,9	1555	79,4	0,128	23,57831325	2	3	1957
"63"	13,48	0,82	0,65	0,034	3,26	10,72	27,9	0	2,85	15,79	38	0,43	16,78	6	480	27,2	1403	79,6	0,153	27,38235294	2	3	1862
"64"	15,09	0,79	0,66	0,038	3,27	12,1	15,4	0,74	9,94	19,2	40,3	0,17	16,55	5,25	672	29,3	1679	74	0,231	28,6625	1	3	2293
